"Hash","Action","KeepPath","File","SizeBytes","LastWrite","QuarantineDest"
"00DCF0606054D4F927416E0B47E1FDDA2E5CE036FDE4B53E51084F8566428C3A","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Canada\Central","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Canada\Central","1294","8/16/2025 4:26:16 PM",""
"00DCF0606054D4F927416E0B47E1FDDA2E5CE036FDE4B53E51084F8566428C3A","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Canada\Central","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\America\Rainy_River","1294","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_America_Rainy_River"
"00DCF0606054D4F927416E0B47E1FDDA2E5CE036FDE4B53E51084F8566428C3A","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Canada\Central","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\America\Winnipeg","1294","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_America_Winnipeg"
"01A8035AAC1E6B6C8159FD74282F69B4180CA4C8F12A9F3200102687E3503959","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pygments\console.py","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pygments\console.py","1718","8/16/2025 9:58:05 PM",""
"01A8035AAC1E6B6C8159FD74282F69B4180CA4C8F12A9F3200102687E3503959","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pygments\console.py","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pip\_vendor\pygments\console.py","1718","8/16/2025 4:25:41 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pip__vendor_pygments_console.py"
"01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\python_dateutil-2.9.0.post0.dist-info\zip-safe","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\python_dateutil-2.9.0.post0.dist-info\zip-safe","1","8/16/2025 4:26:53 PM",""
"01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\python_dateutil-2.9.0.post0.dist-info\zip-safe","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz-2025.2.dist-info\zip-safe","1","8/16/2025 4:26:15 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pytz-2025.2.dist-info_zip-safe"
"025D4339487853FA1F3144127959734B20F7C7B4948CFF5D72149A0541A67968","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Australia\West","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Australia\West","446","8/16/2025 4:26:15 PM",""
"025D4339487853FA1F3144127959734B20F7C7B4948CFF5D72149A0541A67968","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Australia\West","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Australia\Perth","446","8/16/2025 4:26:15 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pytz_zoneinfo_Australia_Perth"
"04C06744EE3FE078EF3B8B779E38EB30666BF993E67A092FCAF2FC28F63A64CE","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Brazil\East","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Brazil\East","1430","8/16/2025 4:26:15 PM",""
"04C06744EE3FE078EF3B8B779E38EB30666BF993E67A092FCAF2FC28F63A64CE","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Brazil\East","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\America\Sao_Paulo","1430","8/16/2025 4:26:15 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pytz_zoneinfo_America_Sao_Paulo"
"0561F636A54F0353ECC842CF37FD8117C2A596BB26424AA0D5EBA3B10BE79F1F","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Mexico\BajaSur","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Mexico\BajaSur","1060","8/16/2025 4:26:15 PM",""
"0561F636A54F0353ECC842CF37FD8117C2A596BB26424AA0D5EBA3B10BE79F1F","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\Mexico\BajaSur","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\pytz\zoneinfo\America\Mazatlan","1060","8/16/2025 4:26:14 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_pytz_zoneinfo_America_Mazatlan"
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","KEEP","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","558","8/16/2025 4:26:16 PM",""
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Kiev","558","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Europe_Kiev"
"0589E80DDECEBF9D3077898C12975D2BE7393DF2856EE9926C534763E1E26BF2","MOVE_TO_QUARANTINE","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Zaporozhye","C:\Users\ssped\Documents\JUSTICE_MASTER\.venv\Lib\site-packages\tzdata\zoneinfo\Europe\Uzhgorod","558","8/16/2025 4:26:16 PM",".\JusticeLocal\Duplicates_Quarantine\_Users_ssped_Documents_JUSTICE_MASTER_.venv_Lib_site-packages_tzdata_zoneinfo_Europe_Uzhgorod"
